album,title
Magical Mystery Tour,Blue Jay Way
Single,Lady Madonna
Single,The Inner Light
Single,Hey Jude
The Beatles,Back in the U.S.S.R.
The Beatles,Dear Prudence
The Beatles,Glass Onion
The Beatles,"Ob-La-Di, Ob-La-Da"
The Beatles,Wild Honey Pie
The Beatles,The Continuing Story of Bungalow Bill
The Beatles,While My Guitar Gently Weeps
The Beatles,Happiness Is a Warm Gun
The Beatles,Martha My Dear
The Beatles,I'm So Tired
The Beatles,Blackbird
The Beatles,Piggies
The Beatles,Rocky Raccoon
The Beatles,Don't Pass Me By
The Beatles,Why Don't We Do It in the Road
The Beatles,I Will
The Beatles,Julia
The Beatles,Birthday
The Beatles,Yer Blues
The Beatles,Mother Nature's Son
The Beatles,Everybody's Got Something to Hide Except Me and My Monkey
The Beatles,Sexy Sadie
The Beatles,Helter Skelter
The Beatles,"Long, Long, Long"
The Beatles,Revolution 1
The Beatles,Honey Pie
The Beatles,Savoy Truffle
The Beatles,Cry Baby Cry
The Beatles,Good Night
Yellow Submarine,Only a Northern Song
Yellow Submarine,All Together Now
Yellow Submarine,Hey Bulldog
Yellow Submarine,It's All Too Much
Single,The Ballad of John and Yoko
Single,Old Brown Shoe
Abbey Road,Come Together
Abbey Road,Something
Abbey Road,Maxwell's Silver Hammer
Abbey Road,Oh! Darling
Abbey Road,Octopus's Garden
Abbey Road,I Want You (She's So Heavy)
Abbey Road,Here Comes the Sun
Abbey Road,Because
Abbey Road,You Never Give Me Your Money
Abbey Road,Sun King
Abbey Road,Mean Mr. Mustard
Abbey Road,Polythene Pam
Abbey Road,She Came in Through the Bathroom Window
Abbey Road,Golden Slumbers
Abbey Road,Carry That Weight
Abbey Road,The End
Abbey Road,Her Majesty
Single,You Know My Name (Look Up the Number)
Let It Be,Two of Us
Let It Be,Dig a Pony
Let It Be,Across the Universe
Let It Be,I Me Mine
Let It Be,Dig It
Let It Be,Let It Be
Let It Be,I've Got a Feeling
Let It Be,One After 909
Let It Be,The Long and Winding Road
Let It Be,For You Blue
Let It Be,Get Back
Let It Be... Naked,Get Back (Naked)
Let It Be... Naked,Dig a Pony (Naked)
Let It Be... Naked,For You Blue (Naked)
Let It Be... Naked,The Long and Winding Road (Naked)
Let It Be... Naked,Two of Us (Naked)
Let It Be... Naked,I've Got a Feeling (Naked)
Let It Be... Naked,One After 909 (Naked)
Let It Be... Naked,Don't Let Me Down (Naked)
Let It Be... Naked,I Me Mine (Naked)
Let It Be... Naked,Across the Universe (Naked)
Let It Be... Naked,Let It Be (Naked)
Single,Free as a Bird
Single,Real Love
Single,Now and Then
